day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,5700.518782668165,2553.0,9187.0,1004.7532286293203
1,Tuesday,5801.076836654944,3624.0,9366.0,963.7157990194329
2,Wednesday,5802.370701445877,3633.0,9181.0,951.4831535439981
3,Thursday,5780.841051191872,487.0,9536.0,957.686094704553
4,Friday,5686.839201877934,3482.0,9594.0,939.4102670249754
5,Saturday,5293.99941314554,3331.0,9003.0,889.5174679940418
6,Sunday,5149.638299955932,2574.0,8939.0,921.2565082361018
