day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,1482.370987654321,533.0,3401.0,370.25021389582236
1,Tuesday,1485.6021604938271,782.0,3431.0,383.5665658584882
2,Wednesday,1470.7421296296295,786.0,3425.0,392.15901182286143
3,Thursday,1485.9916666666666,784.0,3254.0,391.5375415984256
4,Friday,1477.5205203654948,795.0,3490.0,386.29017188044895
5,Saturday,1432.29803982096,757.0,3300.0,360.92421917345615
6,Sunday,1415.030564989194,514.0,3018.0,359.48893482836377
