day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,11668.30965909091,7275.0,22350.0,2450.4916189066203
1,Tuesday,11913.074494949495,7469.0,23269.0,2382.551040484397
2,Wednesday,11898.029145622895,7836.0,23753.0,2304.196545156828
3,Thursday,11837.419402356902,7809.0,23670.0,2287.845604556286
4,Friday,11670.546355869634,7690.0,23603.0,2201.632253422867
5,Saturday,10699.195727664948,7506.0,20181.0,1888.4736695723127
6,Sunday,10254.161314099189,7237.0,19566.0,1969.2028175411274
