day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,7970.537098930481,4977.0,12890.0,1377.689519366084
1,Tuesday,8141.009135472371,5364.0,13515.0,1318.7795967767909
2,Wednesday,8120.174019335482,5654.0,13276.0,1280.8951804808887
3,Thursday,8106.154888888889,5296.0,14032.0,1283.520475917569
4,Friday,7978.493149158961,4989.0,13535.0,1265.742274361447
5,Saturday,7243.690842245989,5068.0,12477.0,1093.8542379247228
6,Sunday,6983.5688963210705,4909.0,12011.0,1152.2093499926627
