day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,3165.6206395348836,1096.0,5308.0,616.9369366056783
1,Tuesday,3199.0411821705425,1020.0,5362.0,611.1927763087521
2,Wednesday,3213.187984496124,1239.0,5355.0,597.0812042053163
3,Thursday,3214.8077761627906,1958.0,5291.0,592.6930313657571
4,Friday,3154.3968176849266,1956.0,5445.0,575.9054330849233
5,Saturday,2925.349368318756,1974.0,5295.0,527.7163871369843
6,Sunday,2862.710303030303,907.0,5054.0,563.0710009136106
