day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,32672.028420038536,17422.0,59183.0,6686.53329773749
1,Tuesday,33272.26574604244,14544.0,61643.0,6654.900311128463
2,Wednesday,33261.49749807544,18330.0,62009.0,6527.52117657034
3,Thursday,33085.85772709777,20130.0,61796.0,6454.732685875532
4,Friday,32688.09768786127,20147.0,61646.0,6265.585604720422
5,Saturday,30162.880587668595,19583.0,56545.0,5578.784367760179
6,Sunday,29411.86993006993,19247.0,53933.0,5787.269781168403
