day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,11969.910320881227,7064.0,23606.0,2505.517262455878
1,Tuesday,12274.046216475095,7417.0,23631.0,2477.4149384331436
2,Wednesday,12274.00778256705,7889.0,23411.0,2379.0561126980724
3,Thursday,12164.895833333334,7936.0,21902.0,2299.793225709051
4,Friday,11984.802299125853,7920.0,21657.0,2225.08583109955
5,Saturday,10873.960368773947,7495.0,20250.0,1891.506492050654
6,Sunday,10368.11596114642,7003.0,20632.0,1998.3776968804027
