day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,1682.5380818053598,1014.0,2879.0,307.6691153376407
1,Tuesday,1711.5357310766337,1048.0,3029.0,311.0948397369078
2,Wednesday,1720.14562764457,1073.0,3035.0,303.00523743541737
3,Thursday,1716.1064292430653,1072.0,3053.0,303.6819819815316
4,Friday,1694.635122410546,1058.0,3054.0,292.7693493667087
5,Saturday,1562.2838671760212,1049.0,2941.0,258.31728068137625
6,Sunday,1524.3919515208565,1020.0,2674.0,265.2892464014219
