day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,15810.973684210527,9823.0,25695.0,2665.4447808433997
1,Tuesday,16057.615571074046,9815.0,24712.0,2555.2361468237827
2,Wednesday,16013.589739150508,10566.0,25164.0,2534.7651704094333
3,Thursday,16028.138281295089,10106.0,25035.0,2561.0382480398853
4,Friday,15773.123910659664,9708.0,24739.0,2484.3339264981096
5,Saturday,14610.979628347184,9669.0,23155.0,2284.776928490597
6,Sunday,14200.754679916801,9581.0,21868.0,2344.5386893912687
