day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,2100.554709141274,1011.0,3722.0,404.31364313549074
1,Tuesday,2146.5483610341644,1000.0,3693.0,381.98793570603516
2,Wednesday,2146.06648199446,1353.0,3746.0,378.50139286965225
3,Thursday,2136.361091874423,1299.0,3724.0,381.620469446155
4,Friday,2085.342702141167,1230.0,3581.0,368.29344525339565
5,Saturday,1855.6748037857803,1197.0,3231.0,320.2216606654386
6,Sunday,1794.131268777444,982.0,3080.0,339.05973055137446
