day_number,day_name,average_consumption,minimum_consumption,maximum_consumption,variation
0,Monday,11066.377829961464,6253.0,19661.0,2440.6696939474928
1,Tuesday,11207.070809248555,6434.0,20634.0,2467.4204661982226
2,Wednesday,11199.624157032755,6466.0,20892.0,2428.6783745642015
3,Thursday,11171.89270231214,6551.0,19870.0,2444.5472642596037
4,Friday,11076.541063675832,6457.0,21651.0,2381.8856542869707
5,Saturday,10537.967981186686,1253.0,20588.0,2276.875100650927
6,Sunday,10383.893845319188,5518.0,21232.0,2305.782926424254
