Datetime,Actual,Predicted,residual,abs_residual,deviation_pct,anomaly_score,anomaly_duration_hours,final_severity,confidence_score
2016-07-07 18:00:00,19083.0,18588.467,494.53299999999945,494.53299999999945,2.660429179017288,-0.002056891224719748,1,Medium,46.33372078711685
2016-07-16 08:00:00,12808.0,13093.004,-285.0040000000008,285.0040000000008,2.1767655459358357,-0.017824989691651583,1,Medium,45.04434688059602
2016-07-23 10:00:00,17650.0,17237.129,412.8709999999992,412.8709999999992,2.395242270333993,-0.047466058588263915,1,Medium,51.59673206294049
2016-08-07 06:00:00,11155.0,11443.116,-288.116,288.116,2.5178107082022065,-0.009145627111231902,1,Medium,46.349613071968434
2016-08-11 08:00:00,17344.0,16940.645,403.35499999999956,403.35499999999956,2.3809896258377385,-0.016377518229671928,1,Medium,46.43489856276345
2016-08-20 09:00:00,14865.0,14519.696,345.3040000000001,345.3040000000001,2.378176512786494,-0.00630742684324459,1,Medium,44.77725159034712
2016-08-27 11:00:00,18026.0,17483.049,542.9510000000009,542.9510000000009,3.1055853015112005,-0.0662135140490493,1,Medium,60.29533801985676
2016-08-28 21:00:00,17683.0,18078.008,-395.00800000000163,395.00800000000163,2.1850194999360637,-0.03276091022155425,1,Medium,47.53545121050358
2016-08-29 18:00:00,21416.0,20925.457,490.5430000000015,490.5430000000015,2.3442403193392694,-0.04253204336029359,1,Medium,50.3895404054949
2016-08-29 21:00:00,19071.0,19518.918,-447.9180000000015,447.9180000000015,2.2947890861573446,-0.03786270059140673,1,Medium,49.23767174642433
2016-08-30 21:00:00,18491.0,19061.566,-570.5659999999989,570.5659999999989,2.9932797756490674,-0.03140456248929335,1,Medium,53.74886617240977
2016-09-04 19:00:00,14985.0,15414.836,-429.83599999999933,429.83599999999933,2.788456523312991,-0.02754134151463583,2,Medium,51.49115616976419
2016-09-04 20:00:00,14667.0,15012.152,-345.15200000000004,345.15200000000004,2.299150714700997,-0.013219578361980733,2,Medium,45.27065994690024
2016-09-05 09:00:00,12078.0,11537.48,540.5200000000004,540.5200000000004,4.684905195935339,-0.08106944326078491,1,High,75.27897594875013
2016-09-05 11:00:00,14214.0,13687.688,526.3119999999999,526.3119999999999,3.845149012747806,-0.07469580730832281,2,Medium,67.55960567857545
2016-09-05 12:00:00,15171.0,14790.508,380.4920000000002,380.4920000000002,2.5725417950485556,-0.04756894411883017,2,Medium,53.02472533266533
2016-09-06 09:00:00,16112.0,15723.284,388.71600000000035,388.71600000000035,2.4722316279474463,-0.025891220781093516,1,Medium,48.70607991305221
2016-09-07 07:00:00,15500.0,15886.17,-386.1700000000001,386.1700000000001,2.4308565248892595,-0.004787449009854061,1,Medium,44.94975397819624
2016-09-07 16:00:00,22021.0,21477.66,543.3400000000001,543.3400000000001,2.5297914204806307,-0.04776340812569835,1,Medium,52.71601523518336
2016-09-07 21:00:00,19806.0,20264.814,-458.8139999999985,458.8139999999985,2.264091839184897,-0.051840337988956375,1,Medium,51.26311552197821
2016-09-08 20:00:00,20128.0,19666.082,461.9180000000015,461.9180000000015,2.3488054204187776,-0.040550439303718155,1,Medium,50.10409082133551
2016-09-10 00:00:00,14508.0,14209.828,298.1720000000005,298.1720000000005,2.098350521906391,-0.03883719275072994,3,Medium,47.832286138781
2016-09-10 01:00:00,12959.0,13779.456,-820.4560000000001,820.4560000000001,5.954197320997288,-0.11059196766646406,3,High,90.1764934387152
2016-09-10 02:00:00,13055.0,12540.581,514.4189999999999,514.4189999999999,4.102034825978158,-0.09753932352537165,3,Medium,73.31388707476691
2016-09-12 21:00:00,15923.0,16413.904,-490.90399999999863,490.90399999999863,2.9907814740478478,-0.015360946182152113,1,Medium,51.123700524249294
2016-09-19 21:00:00,16534.0,17120.84,-586.8400000000001,586.8400000000001,3.427635559937481,-0.04241010627467423,1,Medium,58.993453971213455
2016-09-20 21:00:00,16605.0,17159.22,-554.2200000000012,554.2200000000012,3.229867091860825,-0.021541661242307053,1,Medium,54.03046702084481
2016-09-21 21:00:00,16576.0,17090.174,-514.1739999999991,514.1739999999991,3.008594295178031,-0.00853527028914669,1,Medium,50.157085714700145
2016-09-25 21:00:00,14879.0,15282.752,-403.7520000000004,403.7520000000004,2.641880205868684,-0.01596822785571006,1,Medium,48.44509716984507
2016-09-28 20:00:00,14515.0,15077.942,-562.9419999999991,562.9419999999991,3.733546660412934,-0.01594563831899265,1,Medium,57.130981526748464
2016-10-01 06:00:00,10901.0,10554.936,346.0640000000003,346.0640000000003,3.2786934946834387,-0.00874997909413533,1,Medium,52.34191352253784
2016-10-01 21:00:00,12257.0,12632.958,-375.95800000000054,375.95800000000054,2.976009260855617,-0.0202521792190673,1,Medium,51.800389320840424
2016-10-01 23:00:00,10981.0,11266.937,-285.9369999999999,285.9369999999999,2.5378414736853494,-0.015519668377734108,1,Medium,47.544119211144945
2016-10-02 01:00:00,10000.0,10231.128,-231.1280000000006,231.1280000000006,2.2590666444599323,-0.0012462050257141533,8,Medium,43.0072711876823
2016-10-02 02:00:00,9776.0,10042.061,-266.0609999999997,266.0609999999997,2.6494660807178896,-0.02272100422598422,8,Medium,49.60204502887963
2016-10-02 03:00:00,9623.0,10027.978,-404.97799999999916,404.97799999999916,4.0384811374735685,-0.05751314789686046,8,Medium,66.30826394023575
2016-10-02 04:00:00,9581.0,9995.969,-414.96899999999914,414.96899999999914,4.1513634145924145,-0.06772580836506248,8,Medium,68.86520153625456
