Datetime,Actual,Predicted,residual,abs_residual,deviation_pct,anomaly_score,anomaly_duration_hours,final_severity,confidence_score
2017-08-16 23:00:00,3890.0,3791.4016,98.59839999999986,98.59839999999986,2.6005791631253166,-0.01421938699627967,1,Medium,37.14374043944965
2017-08-17 01:00:00,3515.0,3355.922,159.07799999999997,159.07799999999997,4.740217442479294,-0.039548148198393696,1,Medium,54.14501374782445
2017-08-17 15:00:00,4557.0,4983.0713,-426.0712999999996,426.0712999999996,8.550375347830155,-0.07961949216645992,1,Critical,78.46404575489103
2017-08-21 14:00:00,4682.0,4986.328,-304.32800000000043,304.32800000000043,6.103248723309025,-0.03682842095554617,3,High,62.626234858528605
2017-08-21 15:00:00,4740.0,4586.3315,153.66849999999977,153.66849999999977,3.350575508987952,-0.0093993788707053,3,Medium,41.39637087699542
2017-08-21 16:00:00,4937.0,4688.5454,248.45460000000003,248.45460000000003,5.299182983276648,-0.05172261898156083,3,High,59.27891125684606
2017-08-22 12:00:00,4525.0,4690.4443,-165.4443000000001,165.4443000000001,3.5272628650552384,-0.026010365454658513,2,Medium,44.609336432961555
2017-08-22 13:00:00,4460.0,4613.7944,-153.79439999999977,153.79439999999977,3.333360498248465,-0.01810302263194763,2,Medium,42.369397760535804
2017-09-03 14:00:00,2775.0,2687.0366,87.96340000000009,87.96340000000009,3.2736212078391524,-0.005753044860647538,1,Medium,40.444092493761126
2017-09-04 06:00:00,2189.0,2331.4438,-142.4438,142.4438,6.109681906121864,-0.011954674802802545,2,High,59.56873754522488
2017-09-04 07:00:00,2205.0,2350.598,-145.59799999999996,145.59799999999996,6.1940833779319115,-0.02090505222403438,2,High,61.230059433675315
2017-09-04 11:00:00,3071.0,2931.3174,139.6826000000001,139.6826000000001,4.765181689297791,-0.019290483827457017,1,Medium,51.78256699582895
2017-09-04 20:00:00,3783.0,3654.2922,128.70780000000013,128.70780000000013,3.522099300105234,-0.02842741172145613,1,Medium,44.87707344431469
2017-09-17 21:00:00,3442.0,3543.848,-101.84799999999996,101.84799999999996,2.8739381598759306,-0.014263483510251529,1,Medium,38.91812224857271
2017-09-21 20:00:00,4374.0,4246.3657,127.63429999999971,127.63429999999971,3.0057302883734134,-0.016946756917446626,1,Medium,40.10526069156319
2017-09-25 21:00:00,3865.0,3979.1953,-114.19529999999986,114.19529999999986,2.869808878192027,-0.004087918317968731,1,Medium,37.6235849258304
2017-09-26 21:00:00,3940.0,4072.6086,-132.60860000000002,132.60860000000002,3.256109609943858,-0.004879985704071221,1,Medium,40.22199796460301
