Datetime,Actual,Predicted,residual,abs_residual,deviation_pct,anomaly_score,anomaly_duration_hours,final_severity,confidence_score
2017-06-15 13:00:00,16568.0,16163.527,404.47299999999996,404.47299999999996,2.5023808231953333,-0.04000786476719753,1,Medium,50.83719058190982
2017-06-16 08:00:00,11984.0,12515.895,-531.8950000000004,531.8950000000004,4.24975601025736,-0.03799945762481516,1,High,64.28037610071473
2017-06-17 11:00:00,13923.0,14294.106,-371.10599999999977,371.10599999999977,2.5962169302508302,-0.015341582339120863,1,Medium,47.84631236055917
2017-06-17 18:00:00,15059.0,15517.762,-458.7620000000006,458.7620000000006,2.956367032823423,-0.03273748180050917,1,Medium,53.30960598242734
2017-06-17 21:00:00,14063.0,13765.031,297.96899999999914,297.96899999999914,2.164680922258723,-0.003809213337338857,1,Medium,42.70787728051606
2017-06-18 10:00:00,11706.0,12096.108,-390.1080000000002,390.1080000000002,3.2250704110776804,-0.03342511127543846,3,Medium,55.52748650987372
2017-06-18 11:00:00,12251.0,12533.364,-282.3639999999996,282.3639999999996,2.2528987429073277,-0.0026919383264837338,3,Medium,43.23298607617053
2017-06-18 12:00:00,12488.0,12903.117,-415.1170000000002,415.1170000000002,3.2171838789030605,-0.04039297925049845,3,Medium,56.51885860473611
2017-06-23 06:00:00,11475.0,11773.7705,-298.77050000000054,298.77050000000054,2.5375940528142666,-0.004659039328760217,1,Medium,45.77011024818945
2017-06-23 09:00:00,12905.0,13287.522,-382.52200000000084,382.52200000000084,2.878806146097074,-0.017544152091329313,2,Medium,50.40246626943882
2017-06-23 10:00:00,13236.0,13617.568,-381.5679999999993,381.5679999999993,2.802027498595926,-0.012436399659704112,2,Medium,49.02623859360274
2017-06-25 20:00:00,9622.0,9880.087,-258.08699999999953,258.08699999999953,2.612193597080669,-0.0007660887960320162,1,Medium,45.76845008454594
2017-06-25 22:00:00,9712.0,9505.907,206.09300000000076,206.09300000000076,2.1680519281326944,-0.008955722739307226,1,Medium,43.512457155176065
2017-07-01 21:00:00,12235.0,12642.576,-407.5759999999991,407.5759999999991,3.2238366611361418,-0.013841826186260286,1,Medium,52.55713961856205
2017-07-03 17:00:00,14588.0,15012.315,-424.3150000000005,424.3150000000005,2.826446154373929,-0.013421052259842692,4,Medium,49.36720501342272
2017-07-03 18:00:00,13889.0,14343.011,-454.0110000000004,454.0110000000004,3.1653813833092674,-0.03261749465586716,4,Medium,54.935808292279575
2017-07-03 19:00:00,13028.0,13352.594,-324.59399999999914,324.59399999999914,2.430943380739347,-0.0008554561715709008,4,Medium,44.35604255460853
2017-07-03 20:00:00,12300.0,12649.225,-349.22500000000036,349.22500000000036,2.7608410791965543,-0.02076964481816368,4,Medium,49.96205677970481
2017-07-04 06:00:00,8306.0,8638.16,-332.15999999999985,332.15999999999985,3.8452633431193664,-0.03818374275694625,2,Medium,61.12604196344793
2017-07-04 07:00:00,8469.0,8867.543,-398.54299999999967,398.54299999999967,4.494401662331941,-0.048646952504601826,2,High,67.81474415381507
2017-07-04 10:00:00,10827.0,10447.903,379.09699999999975,379.09699999999975,3.6284506087010926,-0.04156337402747334,3,Medium,59.931288406629776
2017-07-04 11:00:00,11836.0,11302.1455,533.8544999999995,533.8544999999995,4.723479272143501,-0.05975460053241721,3,High,71.29620334618454
2017-07-04 12:00:00,12708.0,12239.852,468.14799999999923,468.14799999999923,3.8247848094895196,-0.05418386085145266,3,Medium,63.383865120512375
2017-07-04 23:00:00,11463.0,11053.024,409.97600000000057,409.97600000000057,3.7091749732923818,-0.03717886383204694,2,Medium,59.90349798713649
2017-07-05 00:00:00,10778.0,10477.326,300.6740000000009,300.6740000000009,2.869758944219173,-0.006717967434318073,2,Medium,48.69456620229558
2017-07-05 18:00:00,17020.0,17508.959,-488.9589999999989,488.9589999999989,2.7926217658057166,-0.005564526732512509,1,Medium,47.913338799528994
2017-07-06 19:00:00,19005.0,18495.633,509.36699999999837,509.36699999999837,2.753985224512177,-0.02520965654696805,1,Medium,50.57937090124227
2017-07-06 21:00:00,17753.0,18171.318,-418.3179999999993,418.3179999999993,2.3020784733391344,-0.024344382084058203,1,Medium,46.89334964358218
2017-07-10 07:00:00,11847.0,12303.099,-456.09900000000016,456.09900000000016,3.707187920701932,-0.021893364540451543,2,Medium,57.57697275730726
2017-07-10 08:00:00,12408.0,12961.17,-553.1700000000001,553.1700000000001,4.267901740352144,-0.051931959520708504,2,High,66.52947478581311
2017-07-10 16:00:00,15987.0,16642.758,-655.7580000000016,655.7580000000016,3.9402002961288125,-0.06038765180470562,1,Medium,65.22975500463208
2017-07-11 13:00:00,16772.0,16276.155,495.84499999999935,495.84499999999935,3.046450466956104,-0.0019142076908892358,1,Medium,49.358378499769216
2017-07-11 16:00:00,17114.0,17707.719,-593.719000000001,593.719000000001,3.3528824350555873,-0.030604180539536063,1,Medium,56.10652575436325
2017-07-12 10:00:00,14311.0,14711.011,-400.0110000000004,400.0110000000004,2.71912651006787,-0.0019096783450963661,2,Medium,46.78259496519733
2017-07-12 11:00:00,14355.0,14761.235,-406.2350000000006,406.2350000000006,2.752039378818917,-0.00709435311314166,2,Medium,47.825354312007335
2017-07-12 19:00:00,14941.0,14498.072,442.9279999999999,442.9279999999999,3.0550820826382976,-0.0006021910249980333,1,Medium,49.227931162016986
2017-07-20 11:00:00,14662.0,14202.171,459.8289999999997,459.8289999999997,3.237737385361715,-0.010567513158360464,3,Medium,52.171481070489875
2017-07-20 12:00:00,15840.0,15130.7295,709.2705000000005,709.2705000000005,4.687616020100026,-0.04385068878340581,3,High,68.60967693857116
2017-07-20 13:00:00,16936.0,16376.542,559.4580000000005,559.4580000000005,3.4162157065881225,-0.03876258475885774,3,Medium,57.838180699653066
2017-07-20 16:00:00,18023.0,18566.889,-543.8889999999992,543.8889999999992,2.9293491225158896,-0.049198278688467156,1,Medium,55.58562939577121
2017-07-20 18:00:00,17713.0,17303.467,409.53299999999945,409.53299999999945,2.366768463221847,-0.00859186638049525,2,Medium,45.020776611566205
2017-07-20 19:00:00,17209.0,16804.277,404.7230000000018,404.7230000000018,2.4084523243695743,-0.01757982854540019,2,Medium,46.70752717524503
2017-07-21 08:00:00,13405.0,13082.314,322.6859999999997,322.6859999999997,2.4665819823618333,-0.007925260055683059,1,Medium,45.70524323468362
2017-07-21 17:00:00,17952.0,18497.64,-545.6399999999994,545.6399999999994,2.9497817018819665,-0.035331385944236016,2,Medium,53.64995005304424
2017-07-21 18:00:00,17237.0,17721.059,-484.0590000000011,484.0590000000011,2.73154668691076,-0.019951279354046947,2,Medium,49.6078719539764
2017-07-22 00:00:00,13141.0,12865.72,275.28000000000065,275.28000000000065,2.1396392895228615,-0.037088070540274964,1,Medium,47.54203684432652
2017-07-22 08:00:00,11264.0,11567.76,-303.7600000000002,303.7600000000002,2.6259189333112047,-0.025485422408526248,1,Medium,49.61354810803523
2017-07-23 17:00:00,16207.0,16960.553,-753.5529999999999,753.5529999999999,4.442974235568851,-0.08097826526858054,2,High,72.29807166073283
2017-07-23 18:00:00,15026.0,15850.302,-824.3019999999997,824.3019999999997,5.200544443885042,-0.1083136855618263,2,High,82.39059624210824
2017-07-24 07:00:00,10979.0,11229.482,-250.48199999999997,250.48199999999997,2.2305748386256816,-0.001712991972144362,1,Medium,42.90936201193401
2017-07-24 09:00:00,12530.0,12936.635,-406.6350000000002,406.6350000000002,3.1432826233406153,-0.05664489165440967,2,Medium,58.39446525768597
2017-07-24 10:00:00,13002.0,13374.745,-372.7450000000008,372.7450000000008,2.786931638696669,-0.04861402866797204,2,Medium,54.37688501516611
2017-08-03 13:00:00,16740.0,17370.613,-630.6130000000012,630.6130000000012,3.630343960803232,-0.033197361780983425,1,Medium,58.68139291817147
2017-08-03 15:00:00,16421.0,17002.666,-581.6660000000011,581.6660000000011,3.4210282081645373,-0.04216127181106821,1,Medium,58.3898616687752
2017-08-03 19:00:00,15203.0,15647.313,-444.3130000000001,444.3130000000001,2.8395482342559397,-0.02526556972802041,1,Medium,51.260958939570315
2017-08-04 02:00:00,9612.0,9822.1,-210.10000000000036,210.10000000000036,2.139053766506148,-0.0018372721728467933,1,Medium,42.20814314831132
2017-08-04 08:00:00,10428.0,10720.334,-292.33400000000074,292.33400000000074,2.7269113070544324,-0.03183478921418659,3,Medium,51.36797800025293
2017-08-04 09:00:00,10871.0,11110.826,-239.8259999999991,239.8259999999991,2.1584893868376582,-0.010098604190363791,3,Medium,43.610010578534805
2017-08-04 10:00:00,11084.0,11448.787,-364.78700000000026,364.78700000000026,3.1862502114852886,-0.045202494435214846,3,Medium,57.00261182525537
2017-08-10 17:00:00,15942.0,16515.84,-573.8400000000001,573.8400000000001,3.474482678446874,-0.01567822104637351,1,Medium,54.80663329881126
2017-08-16 17:00:00,17547.0,18265.314,-718.3139999999985,718.3139999999985,3.9326671307156205,-0.05400155234912629,2,Medium,64.20502715420523
2017-08-16 18:00:00,16633.0,17313.395,-680.3950000000004,680.3950000000004,3.9298762605485544,-0.07863187002238714,2,Medium,67.90673249203873
2017-08-16 21:00:00,15768.0,15396.317,371.6830000000009,371.6830000000009,2.4141033209435796,-0.003716869882586238,1,Medium,44.65615402211508
2017-08-17 00:00:00,13266.0,12936.099,329.90099999999984,329.90099999999984,2.550235584931747,-0.01974463074570043,1,Medium,48.150233131231786
2017-08-17 16:00:00,16662.0,17057.904,-395.90399999999863,395.90399999999863,2.320941658482769,-0.01990660864982341,1,Medium,46.37083709240902
2017-08-20 16:00:00,14964.0,15550.915,-586.9150000000009,586.9150000000009,3.774150910091148,-0.07626694932786726,1,Medium,66.32408803902237
2017-08-20 19:00:00,14424.0,14120.541,303.45900000000074,303.45900000000074,2.1490607194157842,-0.01311752787374465,2,Medium,43.99224108055944
2017-08-20 20:00:00,14422.0,13895.587,526.4130000000005,526.4130000000005,3.7883466168071958,-0.06153147760290989,2,Medium,64.20802889902473
2017-08-21 12:00:00,16140.0,16551.805,-411.8050000000003,411.8050000000003,2.4879763868653617,-0.0030951460871513348,6,Medium,45.14332926584064
2017-08-21 13:00:00,16319.0,16804.432,-485.4320000000007,485.4320000000007,2.888714120179728,-0.0259917401211035,6,Medium,51.75753706942426
2017-08-21 14:00:00,15908.0,16769.049,-861.0489999999991,861.0489999999991,5.134751529439739,-0.09493497306041387,6,High,79.85037416468793
2017-08-21 15:00:00,16202.0,15811.501,390.4989999999998,390.4989999999998,2.469714924598239,-0.03152503008934571,6,Medium,49.29775166468677
2017-08-21 16:00:00,16750.0,16034.723,715.277,715.277,4.460800476565764,-0.07924316169501155,6,High,72.17599645968707
2017-08-21 17:00:00,17313.0,16434.605,878.3950000000004,878.3950000000004,5.344789241968398,-0.09830677082661166,6,High,82.01252252930465
2017-08-22 08:00:00,12881.0,13255.99,-374.9899999999998,374.9899999999998,2.8288343609191,-0.04629798653676542,1,Medium,54.356395051767905
2017-09-03 19:00:00,11061.0,11373.942,-312.9419999999991,312.9419999999991,2.7513943714501017,-0.011066125010860572,1,Medium,48.42074050238124
2017-09-04 07:00:00,8202.0,8524.45,-322.4500000000007,322.4500000000007,3.782648733935922,-0.016793951797357987,2,Medium,57.399692897053185
2017-09-04 08:00:00,8294.0,8879.668,-585.6679999999997,585.6679999999997,6.595606952872559,-0.058993270476241144,2,Critical,84.0208978023421
2017-09-04 11:00:00,10478.0,10100.021,377.97899999999936,377.97899999999936,3.7423585554921055,-0.037477539630302426,2,Medium,60.209711820079505
2017-09-04 12:00:00,11352.0,10989.876,362.1239999999998,362.1239999999998,3.295069025346599,-0.032222882502440986,2,Medium,55.89641903279127
2017-09-04 15:00:00,11678.0,12054.1455,-376.14550000000054,376.14550000000054,3.120465901129205,-0.032232861323240436,1,Medium,54.5243028904693
2017-09-10 04:00:00,7314.0,7539.8784,-225.8783999999996,225.8783999999996,2.9957830619655565,-0.0147987847772445,5,Medium,50.907688185918204
